t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.0,evidence
3,1,0.6,social,0.0249,social
3,2,0.6,social,0.0236,social
3,4,0.6,social,0.0174,social
3,5,1.0,evidential,0.0323,evidence
3,6,0.6,social,0.0233,social
3,7,0.2,pressure,0.0601,narrative
3,8,0.6,social,0.0116,social
6,0,0.2,pressure,0.0973,narrative
6,1,0.6,social,0.0283,social
6,2,0.6,social,0.0305,social
6,4,0.6,social,0.0164,social
6,5,1.0,evidential,0.0313,evidence
6,6,1.0,evidential,0.014,evidence
6,7,0.2,pressure,0.0545,narrative
6,8,0.6,social,0.0186,social
9,0,0.2,pressure,0.1027,narrative
9,1,0.6,social,0.0244,social
9,2,0.6,social,0.015,social
9,4,0.6,social,0.0303,social
9,5,0.6,social,0.0288,social
9,6,1.0,evidential,0.067,evidence
9,7,0.2,pressure,0.0588,narrative
9,8,0.6,social,0.007,social
12,0,0.2,pressure,0.1181,narrative
12,1,0.6,social,0.0278,social
12,2,0.6,social,0.0349,social
12,4,0.6,social,0.0233,social
12,5,0.6,social,0.0542,social
12,6,1.0,evidential,0.0478,evidence
12,7,0.2,pressure,0.1044,narrative
12,8,1.0,evidential,0.0093,evidence
