t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.0118,evidence
3,3,1.0,evidential,0.0575,evidence
3,4,0.6,social,0.0384,social
3,5,1.0,evidential,0.0095,evidence
3,6,1.0,evidential,0.0323,evidence
3,7,0.6,social,0.0762,social
3,10,0.6,social,0.1358,social
3,11,1.0,evidential,0.0334,evidence
6,0,1.0,evidential,0.0054,evidence
6,3,1.0,evidential,0.0521,evidence
6,4,0.6,social,0.0366,social
6,5,1.0,evidential,0.0206,evidence
6,6,1.0,evidential,0.0216,evidence
6,7,0.6,social,0.0857,social
6,10,0.6,social,0.0757,social
6,11,1.0,evidential,0.0247,evidence
9,0,0.6,social,0.0091,social
9,3,1.0,evidential,0.0468,evidence
9,4,0.6,social,0.04,social
9,5,1.0,evidential,0.0161,evidence
9,6,1.0,evidential,0.0256,evidence
9,7,0.6,social,0.1013,social
9,10,0.6,social,0.072,social
9,11,0.6,social,0.0022,social
12,0,1.0,evidential,0.006,evidence
12,3,1.0,evidential,0.0238,evidence
12,4,0.6,social,0.0653,social
12,5,1.0,evidential,0.0282,evidence
12,6,1.0,evidential,0.0013,evidence
12,7,0.6,social,0.0686,social
12,10,0.6,social,0.0477,social
12,11,1.0,evidential,0.0099,evidence
