t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.077,social
3,1,0.6,social,0.0476,social
3,4,0.6,social,0.1357,narrative
3,5,1.0,evidential,0.0324,evidence
3,6,0.6,social,0.0278,social
3,7,0.6,social,0.0273,social
3,8,0.6,social,0.0493,social
3,14,1.0,evidential,0.015,evidence
6,0,0.6,social,0.0521,social
6,1,0.6,social,0.0315,social
6,4,0.6,social,0.1319,narrative
6,5,1.0,evidential,0.0417,evidence
6,6,0.6,social,0.0083,social
6,7,0.6,social,0.0087,social
6,8,0.6,social,0.0293,social
6,14,1.0,evidential,0.0165,evidence
9,0,0.6,social,0.0222,social
9,1,0.6,social,0.05,social
9,4,0.6,social,0.1389,social
9,5,1.0,evidential,0.0403,evidence
9,6,1.0,evidential,0.0312,evidence
9,7,0.6,social,0.0139,social
9,8,0.6,social,0.0369,social
9,14,1.0,evidential,0.0123,evidence
12,0,0.6,social,0.0444,social
12,1,0.6,social,0.0306,social
12,4,0.6,social,0.0849,social
12,5,1.0,evidential,0.0329,evidence
12,6,1.0,evidential,0.009,evidence
12,7,0.6,social,0.0056,social
12,8,0.6,social,0.0154,social
12,14,1.0,evidential,0.0158,evidence
