t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0237,social
3,3,0.6,social,0.0251,social
3,4,0.6,social,0.0388,social
3,5,0.6,social,0.0315,social
3,6,0.6,social,0.0254,social
3,7,0.2,pressure,0.0587,narrative
3,10,0.2,pressure,0.0983,narrative
3,11,0.6,social,0.02,social
6,0,0.6,social,0.043,social
6,3,0.6,social,0.0352,social
6,4,0.2,pressure,0.0592,narrative
6,5,0.6,social,0.0299,social
6,6,0.6,social,0.0187,social
6,7,0.2,pressure,0.0721,narrative
6,10,0.2,pressure,0.1098,narrative
6,11,0.6,social,0.0195,social
9,0,0.6,social,0.0434,social
9,3,0.6,social,0.0348,social
9,4,0.2,pressure,0.0586,narrative
9,5,1.0,evidential,0.0224,evidence
9,6,0.6,social,0.0117,social
9,7,0.2,pressure,0.0727,narrative
9,10,0.2,pressure,0.0796,narrative
9,11,0.6,social,0.0183,social
12,0,0.2,pressure,0.0431,narrative
12,3,0.6,social,0.0283,social
12,4,0.2,pressure,0.0566,narrative
12,5,1.0,evidential,0.0254,evidence
12,6,0.6,social,0.024,social
12,7,0.2,pressure,0.0674,narrative
12,10,0.2,pressure,0.0878,narrative
12,11,0.6,social,0.0204,social
