t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0095,evidence
3,3,0.6,social,0.0271,social
3,4,0.6,social,0.0349,social
3,5,0.6,social,0.0122,social
3,6,1.0,evidential,0.0171,social
3,7,0.2,pressure,0.0698,social
3,10,0.2,pressure,0.0698,narrative
3,11,0.6,social,0.0,evidence
6,0,0.6,social,0.0023,evidence
6,3,1.0,evidential,0.0,evidence
6,4,0.6,social,0.0256,social
6,5,1.0,evidential,0.0037,evidence
6,6,0.6,social,0.0372,social
6,7,0.6,social,0.0683,social
6,10,0.2,pressure,0.071,narrative
6,11,1.0,evidential,0.0,evidence
9,0,1.0,evidential,0.007,social
9,3,1.0,evidential,0.0181,evidence
9,4,0.6,social,0.0302,social
9,5,1.0,evidential,0.005,evidence
9,6,0.6,social,0.0395,social
9,7,0.6,social,0.0552,social
9,10,0.2,pressure,0.1162,narrative
9,11,0.6,social,0.007,social
12,0,1.0,evidential,0.0011,social
12,3,1.0,evidential,0.0262,social
12,4,0.6,social,0.0349,social
12,5,1.0,evidential,0.0061,evidence
12,6,0.6,social,0.0349,social
12,7,0.6,social,0.0628,social
12,10,0.2,pressure,0.0698,narrative
12,11,0.6,social,0.0019,social
