t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.0,evidence
3,1,0.6,social,0.0318,social
3,2,0.6,social,0.0532,social
3,4,0.6,social,0.0412,social
3,5,0.6,social,0.0293,social
3,6,1.0,evidential,0.0238,evidence
3,7,0.6,social,0.0439,narrative
3,8,0.6,social,0.0142,social
6,0,0.2,pressure,0.0703,narrative
6,1,0.6,social,0.0284,social
6,2,0.6,social,0.0477,social
6,4,0.6,social,0.0202,social
6,5,0.6,social,0.0449,social
6,6,1.0,evidential,0.0267,evidence
6,7,0.2,pressure,0.0794,narrative
6,8,1.0,evidential,0.002,social
9,0,0.2,pressure,0.081,narrative
9,1,0.6,social,0.0298,social
9,2,0.2,pressure,0.046,social
9,4,0.6,social,0.0337,social
9,5,0.6,social,0.0241,social
9,6,1.0,evidential,0.0278,evidence
9,7,0.2,pressure,0.0989,narrative
9,8,0.6,social,0.0,evidence
12,0,0.2,pressure,0.0711,narrative
12,1,0.6,social,0.0322,social
12,2,0.6,social,0.0379,social
12,4,0.6,social,0.0146,social
12,5,0.6,social,0.0419,social
12,6,1.0,evidential,0.0233,evidence
12,7,0.2,pressure,0.0799,narrative
12,8,0.6,social,0.0113,social
