t,idx,autonomy,basis,magnitude,reason
3,0,0.2,pressure,0.0726,narrative
3,1,0.6,social,0.0248,social
3,4,0.2,pressure,0.1079,narrative
3,5,1.0,evidential,0.0803,evidence
3,6,0.6,social,0.0297,social
3,7,0.6,social,0.0315,social
3,8,0.6,social,0.0485,social
3,14,1.0,evidential,0.0668,evidence
6,0,0.6,social,0.0394,social
6,1,0.6,social,0.0338,social
6,4,0.2,pressure,0.0836,narrative
6,5,1.0,evidential,0.0801,evidence
6,6,0.2,pressure,0.037,narrative
6,7,0.6,social,0.026,social
6,8,0.6,social,0.0586,social
6,14,1.0,evidential,0.0388,evidence
9,0,0.6,social,0.059,social
9,1,0.6,social,0.0781,social
9,4,0.2,pressure,0.1006,narrative
9,5,1.0,evidential,0.0391,evidence
9,6,0.6,social,0.0364,social
9,7,0.6,social,0.0356,social
9,8,0.6,social,0.0296,social
9,14,1.0,evidential,0.0452,evidence
12,0,0.6,social,0.0392,social
12,1,0.6,social,0.0508,social
12,4,0.2,pressure,0.0781,narrative
12,5,1.0,evidential,0.0391,evidence
12,6,0.2,pressure,0.0363,narrative
12,7,0.6,social,0.0371,social
12,8,0.6,social,0.0294,social
12,14,1.0,evidential,0.0781,evidence
