t,idx,autonomy,basis,magnitude,reason
3,0,0.2,pressure,0.1702,narrative
3,1,0.6,social,0.0504,social
3,2,0.6,social,0.0504,social
3,4,0.6,social,0.0333,social
3,5,0.6,social,0.0604,social
3,6,1.0,evidential,0.0111,evidence
3,7,0.6,social,0.0833,narrative
3,8,0.6,social,0.0125,social
6,0,0.2,pressure,0.1188,narrative
6,1,0.6,social,0.0139,social
6,2,0.6,social,0.0456,social
6,4,0.6,social,0.0333,social
6,5,0.6,social,0.0283,social
6,6,1.0,evidential,0.0214,evidence
6,7,0.6,social,0.0833,social
6,8,0.6,social,0.0181,social
9,0,0.2,pressure,0.1544,narrative
9,1,1.0,evidential,0.0275,evidence
9,2,0.6,social,0.0532,social
9,4,0.6,social,0.0139,evidence
9,5,0.6,social,0.0556,social
9,6,1.0,evidential,0.0214,evidence
9,7,0.6,social,0.0938,narrative
9,8,0.6,social,0.0188,social
12,0,0.2,pressure,0.1547,narrative
12,1,0.6,social,0.0137,social
12,2,0.6,social,0.0522,social
12,4,1.0,evidential,0.0139,evidence
12,5,0.6,social,0.0333,evidence
12,6,1.0,evidential,0.022,evidence
12,7,0.6,social,0.0972,social
12,8,0.6,social,0.0129,social
