t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.013,evidence
3,3,1.0,evidential,0.0359,evidence
3,4,0.6,social,0.0366,social
3,5,1.0,evidential,0.0067,evidence
3,6,1.0,evidential,0.0335,evidence
3,7,0.6,social,0.0896,social
3,10,0.6,social,0.1733,social
3,11,1.0,evidential,0.0349,evidence
6,0,1.0,evidential,0.0144,evidence
6,3,1.0,evidential,0.0455,evidence
6,4,0.6,social,0.0322,social
6,5,1.0,evidential,0.0204,evidence
6,6,1.0,evidential,0.0173,evidence
6,7,0.6,social,0.0806,social
6,10,0.6,social,0.079,social
6,11,1.0,evidential,0.0258,evidence
9,0,0.6,social,0.0075,social
9,3,1.0,evidential,0.0468,evidence
9,4,0.6,social,0.0396,social
9,5,1.0,evidential,0.0233,evidence
9,6,1.0,evidential,0.0208,evidence
9,7,0.6,social,0.0664,social
9,10,0.6,social,0.0639,social
9,11,0.6,social,0.0027,social
12,0,1.0,evidential,0.0089,evidence
12,3,1.0,evidential,0.0232,evidence
12,4,0.6,social,0.0656,social
12,5,1.0,evidential,0.0198,evidence
12,6,1.0,evidential,0.0,evidence
12,7,0.6,social,0.0611,social
12,10,0.6,social,0.0363,social
12,11,1.0,evidential,0.0033,evidence
