t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.1735,social
3,1,1.0,evidential,0.0336,evidence
3,2,0.6,social,0.107,social
3,4,1.0,evidential,0.0582,evidence
3,5,1.0,evidential,0.038,evidence
3,6,1.0,evidential,0.0161,evidence
3,7,0.6,social,0.1149,social
3,8,1.0,evidential,0.0212,evidence
6,0,0.6,social,0.0805,social
6,1,1.0,evidential,0.0517,evidence
6,2,0.6,social,0.063,social
6,4,1.0,evidential,0.0089,evidence
6,5,1.0,evidential,0.0563,evidence
6,6,1.0,evidential,0.0061,evidence
6,7,0.6,social,0.0743,social
6,8,1.0,evidential,0.0015,evidence
9,0,0.6,social,0.0517,social
9,1,1.0,evidential,0.0354,evidence
9,2,0.6,social,0.051,social
9,4,1.0,evidential,0.0094,evidence
9,5,1.0,evidential,0.04,evidence
9,6,1.0,evidential,0.0367,evidence
9,7,0.6,social,0.0741,social
9,8,0.6,social,0.0074,social
12,0,0.6,social,0.069,social
12,1,1.0,evidential,0.0327,evidence
12,2,0.6,social,0.0508,social
12,4,1.0,evidential,0.0003,evidence
12,5,1.0,evidential,0.0452,evidence
12,6,1.0,evidential,0.0,evidence
12,7,0.6,social,0.0727,social
12,8,1.0,evidential,0.0098,evidence
