t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.1112,social
3,1,1.0,evidential,0.0669,evidence
3,4,0.6,social,0.1472,social
3,5,1.0,evidential,0.0,evidence
3,6,0.6,social,0.0206,social
3,7,1.0,evidential,0.0426,evidence
3,8,1.0,evidential,0.0473,evidence
3,14,1.0,evidential,0.023,evidence
6,0,0.6,social,0.0754,social
6,1,1.0,evidential,0.052,narrative
6,4,0.6,social,0.0843,social
6,5,1.0,evidential,0.0,evidence
6,6,1.0,evidential,0.0125,evidence
6,7,0.6,social,0.0118,evidence
6,8,1.0,evidential,0.0583,evidence
6,14,1.0,evidential,0.0032,evidence
9,0,0.6,social,0.0532,social
9,1,1.0,evidential,0.0164,evidence
9,4,0.6,social,0.1135,narrative
9,5,1.0,evidential,0.0862,evidence
9,6,1.0,evidential,0.0257,evidence
9,7,1.0,evidential,0.0162,evidence
9,8,1.0,evidential,0.033,evidence
9,14,1.0,evidential,0.0156,evidence
12,0,0.6,social,0.0674,social
12,1,1.0,evidential,0.0487,evidence
12,4,0.6,social,0.0615,social
12,5,1.0,evidential,0.1092,evidence
12,6,1.0,evidential,0.0337,evidence
12,7,1.0,evidential,0.009,evidence
12,8,1.0,evidential,0.0324,evidence
12,14,1.0,evidential,0.0163,evidence
