t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.1757,social
3,1,1.0,evidential,0.0345,evidence
3,2,0.6,social,0.1076,social
3,4,1.0,evidential,0.0743,evidence
3,5,1.0,evidential,0.0453,evidence
3,6,1.0,evidential,0.0128,evidence
3,7,0.6,social,0.1764,social
3,8,1.0,evidential,0.0064,evidence
6,0,0.6,social,0.0761,social
6,1,1.0,evidential,0.0561,evidence
6,2,0.6,social,0.0293,social
6,4,1.0,evidential,0.0046,evidence
6,5,1.0,evidential,0.0338,evidence
6,6,1.0,evidential,0.0,evidence
6,7,0.6,social,0.1186,social
6,8,1.0,evidential,0.0006,evidence
9,0,0.6,social,0.0676,social
9,1,1.0,evidential,0.0401,evidence
9,2,0.6,social,0.0706,social
9,4,1.0,evidential,0.0111,evidence
9,5,1.0,evidential,0.0272,evidence
9,6,1.0,evidential,0.0413,evidence
9,7,0.6,social,0.0799,social
9,8,0.6,social,0.0034,social
12,0,0.6,social,0.0672,narrative
12,1,1.0,evidential,0.0285,evidence
12,2,0.6,social,0.0674,social
12,4,1.0,evidential,0.0008,evidence
12,5,1.0,evidential,0.0308,evidence
12,6,1.0,evidential,0.0317,evidence
12,7,0.6,social,0.0737,social
12,8,1.0,evidential,0.0044,evidence
