t,idx,autonomy,basis,magnitude,reason
3,0,0.2,pressure,0.173,narrative
3,1,0.6,social,0.0504,social
3,2,0.6,social,0.0458,social
3,4,0.6,social,0.0333,social
3,5,0.6,social,0.0587,social
3,6,1.0,evidential,0.0133,evidence
3,7,0.6,social,0.0833,narrative
3,8,0.6,social,0.0091,social
6,0,0.2,pressure,0.1389,narrative
6,1,0.6,social,0.025,social
6,2,0.6,social,0.0701,social
6,4,0.6,social,0.0132,social
6,5,0.6,social,0.0315,social
6,6,1.0,evidential,0.0128,evidence
6,7,0.6,social,0.0833,social
6,8,0.6,social,0.0204,social
9,0,0.2,pressure,0.0911,narrative
9,1,1.0,evidential,0.0236,evidence
9,2,0.6,social,0.0556,social
9,4,0.6,social,0.04,social
9,5,0.6,social,0.0613,social
9,6,1.0,evidential,0.0184,evidence
9,7,0.6,social,0.0938,narrative
9,8,0.6,social,0.0218,social
12,0,0.2,pressure,0.1747,narrative
12,1,0.6,social,0.0262,social
12,2,0.6,social,0.0366,social
12,4,1.0,evidential,0.0139,evidence
12,5,0.6,social,0.0599,social
12,6,1.0,evidential,0.0206,evidence
12,7,0.6,social,0.1035,social
12,8,0.6,social,0.0094,social
