t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.075,social
3,1,0.6,social,0.0476,social
3,4,0.6,social,0.1351,narrative
3,5,1.0,evidential,0.0351,evidence
3,6,0.6,social,0.0083,social
3,7,0.6,social,0.0278,social
3,8,0.6,social,0.0476,social
3,14,1.0,evidential,0.0165,evidence
6,0,0.6,social,0.0488,social
6,1,0.6,social,0.0333,social
6,4,0.6,social,0.1216,social
6,5,1.0,evidential,0.0382,evidence
6,6,0.6,social,0.0083,social
6,7,0.6,social,0.0194,social
6,8,0.6,social,0.0472,social
6,14,1.0,evidential,0.013,evidence
9,0,0.6,social,0.0158,social
9,1,0.6,social,0.0635,social
9,4,0.6,social,0.089,social
9,5,1.0,evidential,0.0344,evidence
9,6,1.0,evidential,0.0086,evidence
9,7,0.6,social,0.0123,evidence
9,8,0.6,social,0.0297,social
9,14,1.0,evidential,0.0135,evidence
12,0,0.6,social,0.05,social
12,1,0.6,social,0.0368,social
12,4,0.6,social,0.0788,social
12,5,1.0,evidential,0.05,evidence
12,6,1.0,evidential,0.0219,evidence
12,7,0.6,social,0.0028,social
12,8,0.6,social,0.0288,evidence
12,14,1.0,evidential,0.013,evidence
