t,idx,autonomy,basis,magnitude,reason
3,0,0.2,pressure,0.1658,narrative
3,1,0.6,social,0.025,social
3,2,0.6,social,0.0278,social
3,4,0.6,social,0.0333,social
3,5,0.6,social,0.0604,social
3,6,1.0,evidential,0.014,evidence
3,7,0.6,social,0.0889,narrative
3,8,0.6,social,0.0154,social
6,0,0.2,pressure,0.1174,narrative
6,1,0.6,social,0.0307,evidence
6,2,0.6,social,0.0587,social
6,4,0.6,social,0.0222,social
6,5,0.6,social,0.0333,evidence
6,6,1.0,evidential,0.017,evidence
6,7,0.6,social,0.1215,social
6,8,0.6,social,0.0199,social
9,0,0.2,pressure,0.149,narrative
9,1,1.0,evidential,0.0167,social
9,2,0.6,social,0.0488,social
9,4,0.6,social,0.0234,social
9,5,0.6,social,0.0493,social
9,6,1.0,evidential,0.0206,evidence
9,7,0.6,social,0.1075,social
9,8,0.6,social,0.0226,social
12,0,0.2,pressure,0.2083,narrative
12,1,0.6,social,0.0241,evidence
12,2,0.6,social,0.0493,social
12,4,1.0,evidential,0.0216,social
12,5,0.6,social,0.0223,evidence
12,6,1.0,evidential,0.022,evidence
12,7,0.6,social,0.0806,social
12,8,0.6,social,0.012,social
