idx,degree,resistance,signal,value,informed,rationale,last_reason
0,15,0.5449214436395889,445.72221268011805,450.0,False,Averaging own guess,social
1,6,0.2765892303619909,349.5886813275955,371.272,True,Adjusted towards measurement,evidence
2,3,0.2866193897283853,368.7740968103798,465.0,False,Neighbours' consensus,social
3,1,0.22124376534125953,554.9817820270104,460.0,False,Neighbours' consensus,social
4,9,0.4538489155189614,784.8620291546729,522.101,False,Adjusted towards neighbours,social
5,6,0.07381535637436609,581.4467883721159,548.468,True,Adjusted towards neighbours,social
6,6,0.5593774117059775,467.01270726250317,463.113,True,Own measure reliable,evidence
7,6,0.25865517189258763,439.23731923443376,438.99,True,Adjusted towards measurement,evidence
8,6,0.3882846915268518,363.6321930924919,385.53,True,Adjusted towards own measurement,evidence
9,5,0.3200755549427108,253.07571989966283,473.917,False,Adjusting towards neighbours,social
10,4,0.5254529524453968,578.4465975484118,451.0,False,Adjusted towards neighbours,social
11,4,0.1027831148602815,441.03554955279276,396.295,False,Adjusted towards neighbours,social
12,4,0.3113099355183791,1153.2643746669032,443.585,False,Neighbours' consensus,social
13,4,0.3039134774397901,388.7874727005869,402.105,True,Adjusted towards reliable measurement,evidence
14,6,0.4860523330802525,456.74817651444187,451.192,True,Adjusted towards own measurement,evidence
15,3,0.21801304792231627,397.06521307246345,415.581,True,Adjusted towards measurement,evidence
16,4,0.3293086150939477,256.71909549560155,263.265,True,Adjusting towards reliable measurement,evidence
17,3,0.24465698984943537,837.6031739522189,393.5,False,Neighbours' consensus,social
18,4,0.3550656496058711,409.5514336956358,419.835,True,,evidence
19,3,0.41993782564589865,626.5095753521363,449.455,False,Neighbours' consensus,social
