t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0722,social
3,1,0.6,social,0.0423,social
3,4,0.6,social,0.1462,narrative
3,5,1.0,evidential,0.0472,evidence
3,6,0.6,social,0.0028,evidence
3,7,0.6,social,0.0417,social
3,8,0.6,social,0.0528,social
3,14,1.0,evidential,0.022,evidence
6,0,0.6,social,0.0483,social
6,1,0.6,social,0.0381,social
6,4,0.6,social,0.1111,social
6,5,1.0,evidential,0.0417,evidence
6,6,0.6,social,0.0083,social
6,7,0.6,social,0.0111,evidence
6,8,0.6,social,0.0246,social
6,14,1.0,evidential,0.0152,evidence
9,0,0.6,social,0.02,social
9,1,0.6,social,0.0487,social
9,4,0.6,social,0.1347,social
9,5,1.0,evidential,0.0403,evidence
9,6,1.0,evidential,0.0083,evidence
9,7,0.6,social,0.0083,social
9,8,0.6,social,0.0607,social
9,14,1.0,evidential,0.0233,evidence
12,0,0.6,social,0.0394,social
12,1,0.6,social,0.0304,social
12,4,0.6,social,0.0914,social
12,5,1.0,evidential,0.0419,evidence
12,6,1.0,evidential,0.0076,evidence
12,7,0.6,social,0.0083,social
12,8,0.6,social,0.0255,social
12,14,1.0,evidential,0.0107,evidence
