t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0228,social
3,1,1.0,evidential,0.0314,evidence
3,4,0.2,pressure,0.0953,narrative
3,5,1.0,evidential,0.0619,evidence
3,6,0.6,social,0.0145,evidence
3,7,0.6,social,0.0159,social
3,8,0.6,social,0.0298,social
3,14,1.0,evidential,0.0381,evidence
6,0,0.6,social,0.0284,social
6,1,1.0,evidential,0.0307,evidence
6,4,0.2,pressure,0.093,narrative
6,5,1.0,evidential,0.0405,evidence
6,6,0.6,social,0.0137,evidence
6,7,1.0,evidential,0.0157,social
6,8,0.6,social,0.0366,evidence
6,14,1.0,evidential,0.0394,evidence
9,0,1.0,evidential,0.0,evidence
9,1,1.0,evidential,0.0267,evidence
9,4,0.2,pressure,0.093,narrative
9,5,1.0,evidential,0.0308,evidence
9,6,1.0,evidential,0.0107,evidence
9,7,1.0,evidential,0.0014,social
9,8,0.6,social,0.0441,social
9,14,1.0,evidential,0.0361,evidence
12,0,0.6,social,0.0233,social
12,1,1.0,evidential,0.0186,evidence
12,4,0.2,pressure,0.1163,narrative
12,5,1.0,evidential,0.0773,evidence
12,6,1.0,evidential,0.0095,evidence
12,7,1.0,evidential,0.0025,evidence
12,8,0.6,social,0.0175,social
12,14,1.0,evidential,0.0342,evidence
