t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.0721,narrative
3,1,0.6,social,0.02,social
3,2,0.6,social,0.0295,social
3,4,0.6,social,0.0384,social
3,5,1.0,evidential,0.0311,evidence
3,6,0.6,social,0.0233,social
3,7,0.2,pressure,0.0698,social
3,8,0.6,social,0.0079,social
6,0,0.2,pressure,0.1451,narrative
6,1,0.6,social,0.0279,social
6,2,0.6,social,0.0,evidence
6,4,0.6,social,0.0165,social
6,5,1.0,evidential,0.0302,evidence
6,6,1.0,evidential,0.0078,evidence
6,7,0.2,pressure,0.0698,narrative
6,8,0.6,social,0.0105,social
9,0,0.2,pressure,0.1467,narrative
9,1,0.6,social,0.0279,social
9,2,0.6,social,0.0157,social
9,4,0.6,social,0.034,social
9,5,0.6,social,0.0321,social
9,6,1.0,evidential,0.0527,evidence
9,7,0.2,pressure,0.059,narrative
9,8,0.6,social,0.0116,evidence
12,0,0.2,pressure,0.0942,narrative
12,1,0.6,social,0.0186,evidence
12,2,0.6,social,0.0255,social
12,4,0.6,social,0.0233,evidence
12,5,0.6,social,0.026,evidence
12,6,1.0,evidential,0.0049,evidence
12,7,0.2,pressure,0.1163,narrative
12,8,1.0,evidential,0.007,social
