t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0275,social
3,3,0.6,social,0.0288,social
3,4,0.6,social,0.0805,narrative
3,5,0.6,social,0.0157,evidence
3,6,0.6,social,0.0254,social
3,7,0.2,pressure,0.0522,narrative
3,10,0.2,pressure,0.0996,narrative
3,11,0.6,social,0.0165,social
6,0,0.6,social,0.0272,social
6,3,0.6,social,0.0361,social
6,4,0.2,pressure,0.0446,social
6,5,0.6,social,0.0256,evidence
6,6,0.6,social,0.0161,social
6,7,0.2,pressure,0.0599,narrative
6,10,0.2,pressure,0.0838,narrative
6,11,0.6,social,0.0176,social
9,0,0.6,social,0.0436,social
9,3,0.6,social,0.0352,social
9,4,0.2,pressure,0.0977,narrative
9,5,1.0,evidential,0.0401,evidence
9,6,0.6,social,0.0224,social
9,7,0.2,pressure,0.0709,narrative
9,10,0.2,pressure,0.1178,narrative
9,11,0.6,social,0.0184,social
12,0,0.2,pressure,0.0279,social
12,3,0.6,social,0.0293,social
12,4,0.2,pressure,0.0508,social
12,5,1.0,evidential,0.0307,social
12,6,0.6,social,0.0256,social
12,7,0.2,pressure,0.0722,narrative
12,10,0.2,pressure,0.0811,narrative
12,11,0.6,social,0.0078,social
