t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.0,evidence
3,1,0.6,social,0.0162,evidence
3,2,0.6,social,0.0245,social
3,4,0.6,social,0.0384,social
3,5,1.0,evidential,0.0312,evidence
3,6,0.6,social,0.0233,social
3,7,0.2,pressure,0.0698,narrative
3,8,0.6,social,0.0093,social
6,0,0.2,pressure,0.1411,narrative
6,1,0.6,social,0.0157,social
6,2,0.6,social,0.0176,social
6,4,0.6,social,0.0163,social
6,5,1.0,evidential,0.0368,evidence
6,6,1.0,evidential,0.014,evidence
6,7,0.2,pressure,0.0996,narrative
6,8,0.6,social,0.0105,social
9,0,0.2,pressure,0.1047,narrative
9,1,0.6,social,0.0181,evidence
9,2,0.6,social,0.0185,social
9,4,0.6,social,0.031,social
9,5,0.6,social,0.0293,social
9,6,1.0,evidential,0.0137,evidence
9,7,0.2,pressure,0.0698,narrative
9,8,0.6,social,0.0093,evidence
12,0,0.2,pressure,0.1334,narrative
12,1,0.6,social,0.0169,social
12,2,0.6,social,0.0366,social
12,4,0.6,social,0.0233,social
12,5,0.6,social,0.0298,evidence
12,6,1.0,evidential,0.015,evidence
12,7,0.2,pressure,0.0977,narrative
12,8,1.0,evidential,0.007,social
