t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.0,evidence
3,1,0.6,social,0.0309,social
3,2,0.6,social,0.0484,social
3,4,0.6,social,0.0248,social
3,5,0.6,social,0.0488,social
3,6,1.0,evidential,0.0225,evidence
3,7,0.6,social,0.1055,narrative
3,8,0.6,social,0.0158,social
6,0,0.2,pressure,0.099,narrative
6,1,0.6,social,0.0259,social
6,2,0.6,social,0.0406,narrative
6,4,0.6,social,0.0195,social
6,5,0.6,social,0.0291,social
6,6,1.0,evidential,0.0273,evidence
6,7,0.2,pressure,0.087,narrative
6,8,1.0,evidential,0.0123,social
9,0,0.2,pressure,0.1182,narrative
9,1,0.6,social,0.0294,social
9,2,0.2,pressure,0.0391,social
9,4,0.6,social,0.0361,social
9,5,0.6,social,0.0352,social
9,6,1.0,evidential,0.0278,evidence
9,7,0.2,pressure,0.1002,narrative
9,8,0.6,social,0.0044,social
12,0,0.2,pressure,0.0996,narrative
12,1,0.6,social,0.0303,social
12,2,0.6,social,0.0376,social
12,4,0.6,social,0.0149,social
12,5,0.6,social,0.041,social
12,6,1.0,evidential,0.0267,evidence
12,7,0.2,pressure,0.141,narrative
12,8,0.6,social,0.0039,social
