t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.0119,social
3,3,1.0,evidential,0.0294,evidence
3,4,0.6,social,0.0344,social
3,5,1.0,evidential,0.0082,evidence
3,6,1.0,evidential,0.0335,evidence
3,7,0.6,social,0.0539,social
3,10,0.6,social,0.1454,social
3,11,1.0,evidential,0.0337,evidence
6,0,1.0,evidential,0.006,evidence
6,3,1.0,evidential,0.0357,evidence
6,4,0.6,social,0.0396,social
6,5,1.0,evidential,0.0229,evidence
6,6,1.0,evidential,0.021,evidence
6,7,0.6,social,0.0805,social
6,10,0.6,social,0.0815,social
6,11,1.0,evidential,0.0294,evidence
9,0,0.6,social,0.011,evidence
9,3,1.0,evidential,0.0402,evidence
9,4,0.6,social,0.0314,social
9,5,1.0,evidential,0.0,evidence
9,6,1.0,evidential,0.0161,evidence
9,7,0.6,social,0.0705,social
9,10,0.6,social,0.1149,social
9,11,0.6,social,0.0004,evidence
12,0,1.0,evidential,0.0089,evidence
12,3,1.0,evidential,0.037,evidence
12,4,0.6,social,0.0388,social
12,5,1.0,evidential,0.0283,evidence
12,6,1.0,evidential,0.0007,evidence
12,7,0.6,social,0.0425,social
12,10,0.6,social,0.0736,social
12,11,1.0,evidential,0.0044,evidence
