t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0116,social
3,3,0.6,social,0.0192,social
3,4,0.6,social,0.0186,social
3,5,0.6,social,0.0077,social
3,6,1.0,evidential,0.0093,evidence
3,7,0.2,pressure,0.0814,narrative
3,10,0.2,pressure,0.0698,narrative
3,11,0.6,social,0.0355,social
6,0,0.6,social,0.0047,social
6,3,1.0,evidential,0.0,evidence
6,4,0.6,social,0.0233,social
6,5,1.0,evidential,0.0049,evidence
6,6,0.6,social,0.0395,social
6,7,0.6,social,0.0659,social
6,10,0.2,pressure,0.093,narrative
6,11,1.0,evidential,0.0233,evidence
9,0,1.0,evidential,0.0025,evidence
9,3,1.0,evidential,0.0,evidence
9,4,0.6,social,0.0163,social
9,5,1.0,evidential,0.0086,evidence
9,6,0.6,social,0.0395,social
9,7,0.6,social,0.1163,social
9,10,0.2,pressure,0.1163,narrative
9,11,0.6,social,0.0186,social
12,0,1.0,evidential,0.0053,evidence
12,3,1.0,evidential,0.0181,evidence
12,4,0.6,social,0.0326,social
12,5,1.0,evidential,0.0082,evidence
12,6,0.6,social,0.027,social
12,7,0.6,social,0.0698,social
12,10,0.2,pressure,0.1163,narrative
12,11,0.6,social,0.007,social
