t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0277,social
3,3,0.6,social,0.0356,social
3,4,0.6,social,0.0449,social
3,5,0.6,social,0.0224,evidence
3,6,0.6,social,0.0254,social
3,7,0.2,pressure,0.0781,narrative
3,10,0.2,pressure,0.0987,narrative
3,11,0.6,social,0.022,social
6,0,0.6,social,0.0338,social
6,3,0.6,social,0.0337,social
6,4,0.2,pressure,0.0494,social
6,5,0.6,social,0.0178,evidence
6,6,0.6,social,0.02,social
6,7,0.2,pressure,0.0579,social
6,10,0.2,pressure,0.0838,narrative
6,11,0.6,social,0.0059,social
9,0,0.6,social,0.0413,social
9,3,0.6,social,0.0361,social
9,4,0.2,pressure,0.0576,narrative
9,5,1.0,evidential,0.025,evidence
9,6,0.6,social,0.0162,social
9,7,0.2,pressure,0.0779,narrative
9,10,0.2,pressure,0.0999,narrative
9,11,0.6,social,0.0049,social
12,0,0.2,pressure,0.0273,social
12,3,0.6,social,0.0316,social
12,4,0.2,pressure,0.0586,narrative
12,5,1.0,evidential,0.024,evidence
12,6,0.6,social,0.0153,social
12,7,0.2,pressure,0.0729,narrative
12,10,0.2,pressure,0.1185,narrative
12,11,0.6,social,0.0195,social
